Id,Y Original,Y predicted
0,0.9492019957668136,0.3668654751376259
1,1.114222326070977,1.2900115584958673
2,3.7101835175130544,2.5208730029735227
3,1.8817978838226768,2.8285883640929366
4,3.7084487061053215,3.7517344474511782
5,2.6645880816550593,4.059449808570592
6,-0.1382102520153108,4.982595891928833
7,5.852661243487816,5.905741975287074
8,3.138803570903143,6.828888058645316
9,5.4760238192581205,7.7520341420035574
10,9.67200204764989,9.290610947600625
11,7.904828040147692,9.59832630872004
12,10.660772281846398,9.906041669839455
13,11.102148356493831,10.213757030958869
14,12.620306244609756,10.829187753197695
15,12.161579682748165,11.13690311431711
16,5.597631740591846,11.752333836555938
17,12.423672246523859,12.060049197675351
18,12.200870089983908,13.290910642153007
19,13.147659873917027,13.906341364391837
20,10.713543179982496,14.214056725511247
21,17.84399562490736,14.52177208663066
22,14.620862552761135,14.829487447750076
23,14.344300420113695,15.137202808869489
24,14.927435484631017,15.444918169988904
25,15.399833356190651,16.06034889222773
26,17.16686834290267,16.368064253347146
27,19.418635916232763,18.52207178118304
28,17.576802514736368,18.829787142302454
29,20.78483078373403,19.13750250342187
30,19.940507318402947,19.445217864541284
31,19.48670086254109,19.752933225660694
32,21.047563127718703,20.06064858678011
33,21.947424496497682,22.214656114616
34,18.621755534810614,22.52237147573542
35,20.289594395292088,22.830086836854836
36,21.500279652326924,23.137802197974246
37,23.659870821684645,23.445517559093663
38,22.27917271773048,23.753232920213076
39,20.032256428189854,24.06094828133249
40,23.251991095774695,24.676379003571313
41,26.695943540766244,24.984094364690733
42,25.958977386359397,25.907240448048974
43,27.977049401099485,26.522671170287808
44,28.445347642543286,27.138101892526628
45,29.670128169524805,27.753532614765454
46,28.04434655816502,28.676678698123695
47,33.03241721988017,29.29210942036253
48,29.34043719001346,29.599824781481935
49,29.979473798523394,29.90754014260135
50,29.561908659841663,30.215255503720766
